[event_chain, character_velocity] | 6●/4✦ | Ancient | R | When you play 2 cards in a turn, reclaim this character.
[materialize_value, ally_formation] | 1●/1✦ | Synth | R | 4●: Materialize a copy of an ally.
[leave_play_enablers, abandon_furnace, materialize_tempo, materialize_value] | 1● | Event | C | Until end of turn, when an ally leaves play, gain 2●.
[survivor_dissolve, void_recursion, reclaim_characters] | 5●/2✦ | Survivor | C | With an allied Survivor, you may play this card from your hand or void for 1●.
[discard_velocity, spark_tall] | 1●/0✦ | Survivor | C | 1●, Discard a card: Kindle 2.
[survivor_dissolve, judgment_engines] | 2●/1✦ | Survivor | C | ▸ Materialized, Judgment: With 2 allied Survivors, draw a card.
[survivor_dissolve, spark_tall, void_recursion] | 3●/2✦ | Survivor | R | ▸ Dissolved: Kindle 2. When an allied Survivor is ▸ Dissolved:, kindle 2.
[abandon_furnace, abandon_fodder, leave_play_enablers] | 3●/0✦ | Synth | U | Abandon an ally: Gain 1●.
[survivor_dissolve, void_recursion] | 2●/1✦ | Survivor | U | ▸ Dissolved: Draw a card. When an allied Survivor is ▸ Dissolved:, draw a card.
[abandon_furnace, leave_play_enablers, void_setup] | 4●/2✦ | Outsider | C | Abandon an ally: Put the top 2 cards of your deck into your void.
[survivor_dissolve, abandon_furnace] | 4●/1✦ | Survivor | U | When an ally is ▸ Dissolved:, draw a card.
[prevent_control, hand_disruption, discard_velocity] | 1●/1✦ | Survivor | R | ↯fast -- ▸ Materialized: Each player discards a card.
[survivor_dissolve, abandon_furnace, void_recursion] | 3●/1✦ | Survivor | U | When an ally is ▸ Dissolved, this card gains reclaim 1● this turn.
[survivor_dissolve, abandon_furnace] | 6●/2✦ | Ancient | R | When an ally is ▸ Dissolved, gain 1✪.
[survivor_dissolve, abandon_furnace] | 2●/1✦ | Survivor | U | ▸ Dissolved: You may pay 1● to return this character to your hand.
[survivor_dissolve] | 1●/1✦ | Survivor | R | ▸ Dissolved: A Survivor in your void gains reclaim equal to its cost.
[judgment_engines, void_recursion, survivor_dissolve] | 3●/1✦ | Survivor | U | ▸ Judgment: You may pay 1● to return this character from your void to your hand.
[void_recursion] | 2●/6✦ | Ancient | U | You may only play this character from your void.
[survivor_dissolve] | 2●/1✦ | Survivor | U | If this card is in your void, allied Survivors have +2 spark.
[abandon_furnace, spark_tall] | 3●/1✦ | Survivor | C | Abandon an ally: Kindle 1.
[judgment_bodies, judgment_engines, void_denial] | 1●/0✦ | Survivor | U | ▸ Judgment: You may banish a card from the opponent's void to gain 1●.
[cheap_removal, abandon_furnace] | 2● | Event | R | Dissolve an enemy with cost 2● or less. Reclaim -- Abandon an ally
[void_setup, void_recursion, survivor_dissolve] | 2●/1✦ | Survivor | R | ▸ Materialized, Dissolved: Put the top 4 cards of your deck into your void.
[survivor_dissolve, materialize_value, void_recursion] | 3●/1✦ | Survivor | R | When you materialize a Survivor, reclaim this character.
[character_tutors, survivor_dissolve] | 1● | Event | R | Discover a Survivor.
[survivor_dissolve, void_setup, void_recursion] | 2●/1✦ | Survivor | C | When you play a Survivor, put the top 2 cards of your deck into your void.
[abandon_furnace, spark_tall] | 3●/1✦ | Ancient | C | When you abandon an ally, this character gains +1 spark.
[abandon_furnace] | 2●/1✦ | Warrior | U | When you abandon a second ally in a turn, dissolve an enemy.
[abandon_furnace] | 4●/2✦ | Ancient | R | When you abandon a character, gain 1✪.
[abandon_furnace] | 2●/1✦ | Renegade | R | ↯fast -- Abandon an ally, once per turn: Gain 1✪.
[abandon_furnace, spark_tall] | 3●/1✦ | Monster | C | When you abandon an ally, kindle 2.
[abandon_furnace, void_recursion, topdeck_setup] | 2●/1✦ | Survivor | C | Abandon an ally: You may put a character from your void on top of your deck.
[abandon_furnace] | 3●/1✦ | Ancient | R | Abandon an ally: You may dissolve an enemy with spark less than that ally's spark.
[abandon_furnace, survivor_dissolve] | 4●/2✦ | Mage | C | When an ally is ▸ Dissolved:, gain 1●.
[abandon_furnace, warrior_bastion] | 2●/1✦ | Outsider | U | Abandon an ally, once per turn: Reclaim a Warrior.
[materialize_value, materialize_tempo] | 4●/3✦ | Musician | U | When you materialize an ally, gain 1●.
[event_chain, figment_swarm] | 1●/1✦ | Mage | U | ▸ Materialized: Materialize a Celestial figment for each card you have played this turn.
[figment_swarm, go_wide_enablers] | 3● | Event | C | Materialize three Warrior figments.
[figment_swarm, character_velocity] | 4●/1✦ | Visitor | U | When you play a character, materialize a Celestial figment.
[abandon_furnace] | 3●/1✦ | Synth | U | ▸ Materialized: Draw a card for each ally abandoned this turn.
[abandon_furnace] | 4●/2✦ | Outsider | C | When you abandon a character, draw a card.
[abandon_furnace] | 2● | Event | C | Abandon any number of allies: Draw a card for each ally abandoned.
[discover_toolbox, character_tutors] | 2● | Event | R | Discover a character with an activated ability.
[void_recursion] | 2●/1✦ | Synth | R | While you have 7 or more cards in your void, they have reclaim equal to their cost.
[premium_removal, card_flow, survivor_dissolve, abandon_furnace] | 4● | Event | R | Dissolve an enemy. Draw a card. This event costs 0● if a character dissolved this turn.
[abandon_furnace, discard_velocity] | 0● | Event | R | Abandon a character, Discard your hand: Gain 5●.
[abandon_furnace, judgment_engines, leave_play_enablers] | 1●/1✦ | Ancient | U | ▸ Judgment: Each player abandons a character.
[card_flow, resource_burst, fast_setup, event_chain] | 2● | Fast Event | U | Pay 1 or more ●: Draw a card for each ● spent.
[card_flow, resource_burst] | 2●/2✦ | Musician | C | 3●: Draw a card.
[fast_tempo] | 2●/1✦ | Visitor | U | ↯fast -- When you play a card during the opponent's turn, this character gains +1 spark.
[reclaim_events, event_chain] | 4● | Event | R | Return up to 2 events from your void to your hand.
[fast_interaction, tempo_resets, card_flow] | *● | Fast Event | U | Choose One: • 2●: Return an enemy to hand. • 3●: Draw 2 cards.
[prevent_control, fast_interaction] | 1● | Fast Event | C | Prevent a played event which could dissolve an ally.
- | 0● | Event | Special | 
- | 2● | Event | Special | Draw a card.
[spirit_growth, materialize_tempo, materialized_staples] | 3●/2✦ | Spirit Animal | U | ▸ Materialized: Banish an enemy with cost 3● or less until this character leaves play.
[warrior_bastion, abandon_furnace] | 5●/0✦ | Warrior | R | ▸ Dissolved: Return all enemies to hand.
[prevent_control, hand_disruption, materialize_tempo] | 2●/1✦ | Detective | U | ▸ Materialized: Banish a chosen card from the opponent's hand until this character leaves play.
[materialize_tempo, fast_tempo, foresee_selection] | 3●/1✦ | Warrior | R | ↯fast -- ▸ Materialized: Banish an enemy until this character leaves play. Abandon this character: Foresee 2.
[fast_tempo, materialize_tempo, character_velocity, tempo_resets] | 4●/2✦ | Renegade | R | ↯fast -- Banish a card from hand: Play this character for 0●, then abandon it. ▸ Materialized: Return an enemy to hand.
[prevent_control, hand_disruption, character_velocity] | 4●/3✦ | Outsider | R | Banish a card from hand: Play this character for 0●, then abandon it. ▸ Materialized: Discard a chosen card from the opponent's hand.
[cheap_removal, character_velocity, materialized_staples] | 5●/3✦ | Ancient | R | Banish a card from hand: Play this character for 0●, then abandon it. ▸ Materialized: Dissolve an enemy with spark 2 or less.
[prevent_control, abandon_furnace] | 1●/0✦ | Warrior | U | ↯fast -- Abandon an ally: Prevent a played event which could dissolve an ally.
[judgment_bodies, judgment_engines, card_flow] | 1●/1✦ | Child | C | ▸ Judgment: You may pay 2● to draw a card.
[judgment_bodies, foresee_selection, materialized_staples, judgment_engines] | 1●/1✦ | Child | C | ▸ Materialized, Judgment: Foresee 1.
[judgment_bodies, materialized_staples, foresee_selection, judgment_engines] | 2●/0✦ | Explorer | R | ▸ Materialized: Foresee 1. ▸ Judgment: Gain 1●.
[materialize_value, spark_tall] | 2●/1✦ | Child | C | When you materialize an ally, kindle 1.
[materialize_tempo, materialize_value, spark_tall] | 3●/2✦ | Ancient | C | When you materialize an ally, that ally gains +1 spark.
[spark_tall, judgment_bodies, spark_growth, warrior_pressure] | 2●/1✦ | Warrior | C | ▸ Judgment: Kindle 1.
[discard_velocity, spark_tall] | 3●/1✦ | Monster | R | When you discard this character, materialize it. ▸ Judgment: Kindle 2.
[void_recursion] | 5●/2✦ | Warrior | R | ▸ Judgment: This character gains +1 spark. When a card leaves your void, kindle 2.
[warrior_pressure, warrior_bastion] | 2●/2✦ | Warrior | C | Allied Warriors cost you 1● less.
[character_velocity, cost_reduction, materialize_value, materialized_staples] | 5●/2✦ | Explorer | R | Characters cost you 1● less. ▸ Materialized: Draw 2 cards.
[warrior_pressure, warrior_bastion, figment_swarm] | 3●/2✦ | Warrior | C | When you materialize a Warrior, materialize a Halcyon Figment.
