Bloom1 | 1●/1✦ | Spirit Animal | U | ▸ Judgment: You may return a character to hand to gain 3●.
Pact1 | 2● | Fast Event | C | Abandon an ally: Return any number of allies to hand.
Pact1 | 4● | Event | R | Reclaim all characters with cost 3● or less. At end of your next turn, abandon all reclaimed characters.
Umbra1 | 2●/1✦ | Mage | R | ▸ Judgment: You may reclaim an event with cost up to this character's spark.
Umbra1 | 4●/2✦ | Spirit Animal | U | ▸ Judgment: Put the top 2 cards of your deck into your void. You may return a character from your void to your hand.
Umbra2 | 4●/2✦ | Survivor | R | ▸ Judgment: Put the top cards 2 of your deck into your void. Materialize a copy of a random character from among them with 1 spark.
Umbra2 | 9●/4✦ | Visionary | R | ▸ Materialized: The opponent abandons 3 characters
Surge1 | 1●/0✦ | Tinkerer | U | ▸ Materialized: Gain 4●. Lose 1 maximum ●.
Surge2 | 5●/2✦ | Outsider | R | When you prevent a character, materialize a copy of it.
Surge2 | 5●/2✦ | Mage | R | When you play an event, materialize a random character with equal cost from your deck.
Surge2 | 7●/2✦ | Explorer | C | When you play a card, draw a card.
Surge1 | 0● | Fast Event | C | Prevent a played card. The opponent draws 2 cards.
Surge1 | 1● | Fast Event | U | Return an ally to hand: Play this event for 0●. Prevent a played card unless the opponent pays 2●.
Surge1 | 2● | Fast Event | C | Prevent a played card. Gain ● equal to that card's cost.
Surge1 | 2● | Fast Event | U | Prevent a played card. The opponent draws a card, then discards a card.
Surge1 | 3● | Fast Event | C | Prevent a played character. Draw a card.
Neutral1 | 1●/0✦ | Mage | U | ↯fast -- Abandon an ally: Prevent a played event which could dissolve an ally.
Neutral1 | 1●/0✦ | Tinkerer | C | ▸ Materialized: Dissolve an enemy with spark 2 or less.
Neutral1 | 2●/1✦ | Warrior | C | ▸ Judgment: Kindle 1.
Neutral1 | 3●/2✦ | Visionary | R | ▸ Judgment: Dissolve a random enemy or ally among those with the lowest spark.
Neutral1 | 3●/1✦ | Detective | R | ▸ Materialized: Look at the opponent's hand. Gain a copy of a card there.
Neutral1 | 5●/3✦ | Visionary | R | ▸ Materialized: Each enemy loses 2 spark.
Neutral1 | 6●/2✦ | Ancient | R | ▸ Materialized: The spark of each enemy becomes 1.
Neutral2 | 10●/3✦ | Explorer | R | ▸ Materialized: Gain 3●. Draw 3 cards. Dissolve an enemy with spark 2 or less.
Neutral1 | 0● | Event | C | Gain 1●.
Neutral1 | 1● | Fast Event | C | Dissolve an enemy with spark 3 or less.
Neutral1 | 4● | Event | R | Dissolve up to 2 enemies. Materialize a Shadow Figment for each enemy dissolved.
